Census Tract ,County ,State,percent,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,total,total same-sex
Census Tract 208.01,Cook County,Illinois,4.98%,855,30,119,21,1025,51
Census Tract 208.02,Cook County,Illinois,3.48%,1156,29,93,16,1294,45
Census Tract 209.01,Cook County,Illinois,3.39%,787,20,124,12,943,32
Census Tract 209.02,Cook County,Illinois,5.52%,591,13,60,25,689,38
Census Tract 301.01,Cook County,Illinois,15.48%,444,56,113,46,659,102
Census Tract 301.02,Cook County,Illinois,15.23%,373,47,100,38,558,85
Census Tract 301.03,Cook County,Illinois,14.61%,136,13,51,19,219,32
Census Tract 301.04,Cook County,Illinois,8.37%,163,13,56,7,239,20
Census Tract 302,Cook County,Illinois,17.43%,840,123,174,91,1228,214
Census Tract 303,Cook County,Illinois,9.81%,420,32,95,24,571,56
Census Tract 304,Cook County,Illinois,27.14%,328,95,80,57,560,152
Census Tract 305,Cook County,Illinois,23.78%,772,182,247,136,1337,318
Census Tract 306.01,Cook County,Illinois,14.46%,408,52,77,30,567,82
Census Tract 306.03,Cook County,Illinois,15.38%,180,30,73,16,299,46
Census Tract 306.04,Cook County,Illinois,13.46%,467,40,99,48,654,88
Census Tract 307.01,Cook County,Illinois,21.62%,120,22,54,26,222,48
Census Tract 307.02,Cook County,Illinois,13.95%,312,40,58,20,430,60
Census Tract 307.03,Cook County,Illinois,22.94%,351,61,89,70,571,131
Census Tract 307.06,Cook County,Illinois,18.53%,339,44,70,49,502,93
Census Tract 308,Cook County,Illinois,23.83%,596,122,155,113,986,235
Census Tract 309,Cook County,Illinois,22.57%,413,80,112,73,678,153
Census Tract 310,Cook County,Illinois,17.17%,548,85,190,68,891,153
Census Tract 311,Cook County,Illinois,24.63%,489,113,233,123,958,236
Census Tract 312,Cook County,Illinois,17.74%,443,79,160,51,733,130
Census Tract 313,Cook County,Illinois,14.42%,759,95,214,69,1137,164
Census Tract 314,Cook County,Illinois,16.14%,592,95,208,59,954,154
Census Tract 315.01,Cook County,Illinois,12.86%,397,32,118,44,591,76
Census Tract 315.02,Cook County,Illinois,14.80%,386,47,207,56,696,103
Census Tract 317,Cook County,Illinois,18.99%,630,108,266,102,1106,210
Census Tract 318,Cook County,Illinois,10.29%,278,22,88,20,408,42
Census Tract 319,Cook County,Illinois,8.00%,352,24,108,16,500,40
Census Tract 321,Cook County,Illinois,14.44%,762,88,322,95,1267,183
Census Tract 401,Cook County,Illinois,12.26%,597,67,147,37,848,104
Census Tract 402.01,Cook County,Illinois,5.12%,1053,38,263,33,1387,71
Census Tract 402.02,Cook County,Illinois,3.29%,1111,26,182,18,1337,44
Census Tract 403,Cook County,Illinois,4.55%,559,18,49,11,637,29
Census Tract 404.01,Cook County,Illinois,7.33%,562,35,133,20,750,55
Census Tract 404.02,Cook County,Illinois,8.45%,689,45,297,46,1077,91
Census Tract 406,Cook County,Illinois,6.23%,398,18,114,16,546,34
Census Tract 407,Cook County,Illinois,4.66%,610,17,147,20,794,37
Census Tract 408,Cook County,Illinois,4.82%,281,9,94,10,394,19
Census Tract 409,Cook County,Illinois,5.87%,292,12,109,13,426,25
Census Tract 501,Cook County,Illinois,4.05%,422,13,147,11,593,24
Census Tract 502,Cook County,Illinois,3.03%,990,26,164,10,1190,36
Census Tract 503,Cook County,Illinois,3.99%,518,12,84,13,627,25
Census Tract 505,Cook County,Illinois,3.52%,995,16,155,26,1192,42
Census Tract 506,Cook County,Illinois,5.13%,426,11,129,19,585,30
Census Tract 507,Cook County,Illinois,3.54%,308,7,74,7,396,14
Census Tract 508,Cook County,Illinois,2.89%,267,3,35,6,311,9
Census Tract 509,Cook County,Illinois,1.24%,250,3,69,1,323,4
Census Tract 510,Cook County,Illinois,1.68%,292,5,60,1,358,6
Census Tract 511,Cook County,Illinois,4.74%,322,16,60,3,401,19
Census Tract 512,Cook County,Illinois,2.91%,269,5,65,5,344,10
Census Tract 513,Cook County,Illinois,2.93%,617,11,78,10,716,21
Census Tract 514,Cook County,Illinois,3.50%,411,7,113,12,543,19
Census Tract 601,Cook County,Illinois,4.29%,471,15,154,13,653,28
Census Tract 602,Cook County,Illinois,6.81%,350,22,115,12,499,34
Census Tract 603,Cook County,Illinois,3.49%,554,16,109,8,687,24
Census Tract 604,Cook County,Illinois,4.05%,668,16,137,18,839,34
Census Tract 605,Cook County,Illinois,5.13%,186,4,36,8,234,12
Census Tract 608,Cook County,Illinois,14.71%,567,83,245,57,952,140
Census Tract 609,Cook County,Illinois,15.76%,739,91,293,102,1225,193
Census Tract 610,Cook County,Illinois,21.57%,211,46,98,39,394,85
Census Tract 611,Cook County,Illinois,4.21%,140,2,65,7,214,9
Census Tract 612,Cook County,Illinois,5.00%,231,9,73,7,320,16
Census Tract 615,Cook County,Illinois,5.78%,230,10,96,10,346,20
Census Tract 618,Cook County,Illinois,24.31%,81,18,56,26,181,44
Census Tract 619.01,Cook County,Illinois,14.52%,352,45,160,42,599,87
Census Tract 619.02,Cook County,Illinois,12.91%,592,66,224,55,937,121
Census Tract 620,Cook County,Illinois,18.44%,301,54,137,45,537,99
Census Tract 621,Cook County,Illinois,19.12%,352,69,181,57,659,126
Census Tract 622,Cook County,Illinois,5.99%,444,19,152,19,634,38
Census Tract 623,Cook County,Illinois,5.66%,276,8,74,13,371,21
Census Tract 624,Cook County,Illinois,6.72%,268,13,65,11,357,24
Census Tract 625,Cook County,Illinois,8.05%,259,14,61,14,348,28
Census Tract 626,Cook County,Illinois,3.85%,477,13,72,9,571,22
Census Tract 627,Cook County,Illinois,4.91%,464,21,117,9,611,30
Census Tract 628,Cook County,Illinois,3.65%,637,17,154,13,821,30
Census Tract 629,Cook County,Illinois,5.67%,570,19,178,26,793,45
Census Tract 630,Cook County,Illinois,5.54%,351,15,246,20,632,35
Census Tract 631,Cook County,Illinois,13.25%,259,28,134,32,453,60
Census Tract 632,Cook County,Illinois,9.63%,841,56,294,65,1256,121
Census Tract 633.01,Cook County,Illinois,8.63%,220,13,161,23,417,36
Census Tract 633.02,Cook County,Illinois,6.96%,494,28,241,27,790,55
Census Tract 633.03,Cook County,Illinois,7.56%,171,8,37,9,225,17
Census Tract 634,Cook County,Illinois,8.65%,280,18,100,18,416,36
Census Tract 701.01,Cook County,Illinois,3.13%,527,14,185,9,735,23
Census Tract 701.02,Cook County,Illinois,2.64%,385,4,168,11,568,15
Census Tract 701.03,Cook County,Illinois,4.89%,123,5,91,6,225,11
Census Tract 702,Cook County,Illinois,3.71%,485,12,164,13,674,25
Census Tract 703,Cook County,Illinois,4.55%,554,19,201,17,791,36
Census Tract 704,Cook County,Illinois,2.38%,507,6,108,9,630,15
Census Tract 705,Cook County,Illinois,3.23%,556,12,103,10,681,22
Census Tract 706,Cook County,Illinois,2.74%,689,16,93,6,804,22
Census Tract 707,Cook County,Illinois,2.46%,648,12,145,8,813,20
Census Tract 710,Cook County,Illinois,1.00%,418,3,75,2,498,5
Census Tract 711,Cook County,Illinois,2.21%,363,4,80,6,453,10
Census Tract 712,Cook County,Illinois,5.16%,400,9,188,23,620,32
Census Tract 713,Cook County,Illinois,1.69%,638,5,176,9,828,14
Census Tract 714,Cook County,Illinois,3.64%,645,21,228,12,906,33
Census Tract 715,Cook County,Illinois,3.03%,772,12,349,23,1156,35
Census Tract 716,Cook County,Illinois,1.22%,359,3,45,2,409,5
Census Tract 717,Cook County,Illinois,3.62%,308,11,65,3,387,14
Census Tract 718,Cook County,Illinois,1.41%,492,6,66,2,566,8
Census Tract 801,Cook County,Illinois,3.92%,1151,36,222,20,1429,56
Census Tract 802.01,Cook County,Illinois,4.31%,470,15,130,12,627,27
Census Tract 802.02,Cook County,Illinois,5.62%,520,22,185,20,747,42
Census Tract 803,Cook County,Illinois,3.51%,622,15,368,21,1026,36
Census Tract 804,Cook County,Illinois,5.66%,359,18,124,11,512,29
Census Tract 810,Cook County,Illinois,5.39%,656,35,363,23,1077,58
Census Tract 811,Cook County,Illinois,4.77%,400,8,159,20,587,28
Census Tract 812.01,Cook County,Illinois,3.59%,800,18,167,18,1003,36
Census Tract 812.02,Cook County,Illinois,3.83%,717,22,86,10,835,32
Census Tract 813,Cook County,Illinois,5.83%,956,47,142,21,1166,68
Census Tract 814.01,Cook County,Illinois,2.33%,374,7,88,4,473,11
Census Tract 814.02,Cook County,Illinois,3.65%,1287,25,323,36,1671,61
Census Tract 814.03,Cook County,Illinois,4.41%,1583,42,518,55,2198,97
Census Tract 815,Cook County,Illinois,4.65%,1037,21,276,43,1377,64
Census Tract 816,Cook County,Illinois,4.59%,525,18,265,20,828,38
Census Tract 817,Cook County,Illinois,3.50%,529,19,409,15,972,34
Census Tract 818,Cook County,Illinois,4.10%,1580,47,921,60,2608,107
Census Tract 819,Cook County,Illinois,6.71%,175,8,103,12,298,20
Census Tract 901,Cook County,Illinois,0.71%,774,4,60,2,840,6
Census Tract 902,Cook County,Illinois,1.42%,1305,13,149,8,1475,21
Census Tract 903,Cook County,Illinois,1.28%,282,0,26,4,312,4
Census Tract 1001,Cook County,Illinois,0.97%,1000,10,126,1,1137,11
Census Tract 1002,Cook County,Illinois,1.36%,1309,13,144,7,1473,20
Census Tract 1003,Cook County,Illinois,1.19%,1176,10,71,5,1262,15
Census Tract 1004,Cook County,Illinois,0.26%,734,1,45,1,781,2
Census Tract 1005,Cook County,Illinois,1.38%,1267,6,89,13,1375,19
Census Tract 1006,Cook County,Illinois,1.12%,969,9,90,3,1071,12
Census Tract 1007,Cook County,Illinois,1.19%,1015,9,62,4,1090,13
Census Tract 1101,Cook County,Illinois,2.26%,1007,22,115,4,1148,26
Census Tract 1102,Cook County,Illinois,2.70%,468,13,73,2,556,15
Census Tract 1103,Cook County,Illinois,1.91%,1028,17,99,5,1149,22
Census Tract 1104,Cook County,Illinois,2.54%,781,14,100,9,904,23
Census Tract 1105.01,Cook County,Illinois,1.40%,891,12,94,2,999,14
Census Tract 1105.02,Cook County,Illinois,3.53%,522,17,106,6,651,23
Census Tract 1201,Cook County,Illinois,1.74%,1048,17,25,2,1092,19
Census Tract 1202,Cook County,Illinois,1.14%,1074,8,58,5,1145,13
